REAL_RGB,SIM_RGB
x-2.240_y1.408_z-0.000_r-177_rgb.jpeg,x9.187_y0.047_z2.128_r-178_rgb.jpeg
x-1.785_y1.414_z-0.000_r178_rgb.jpeg,x9.238_y0.047_z1.573_r178_rgb.jpeg
x-1.586_y1.422_z-0.000_r-175_rgb.jpeg,x9.279_y0.047_z1.375_r178_rgb.jpeg
x-1.505_y1.437_z-0.000_r-160_rgb.jpeg,x9.209_y0.047_z1.202_r-172_rgb.jpeg
x-1.482_y1.447_z-0.000_r-154_rgb.jpeg,x9.242_y0.047_z1.119_r-169_rgb.jpeg
x-1.432_y1.482_z-0.000_r-136_rgb.jpeg,x9.221_y0.047_z1.062_r-155_rgb.jpeg
x-1.410_y1.508_z-0.000_r-126_rgb.jpeg,x9.203_y0.047_z1.033_r-145_rgb.jpeg
x-1.385_y1.566_z0.000_r-110_rgb.jpeg,x9.156_y0.047_z0.991_r-129_rgb.jpeg
x-1.373_y1.626_z-0.000_r-92_rgb.jpeg,x9.103_y0.047_z0.960_r-115_rgb.jpeg
x-1.373_y1.645_z-0.000_r-86_rgb.jpeg,x9.131_y0.047_z0.973_r-114_rgb.jpeg
x-1.377_y1.676_z0.000_r-78_rgb.jpeg,x9.102_y0.047_z0.962_r-106_rgb.jpeg
x-1.305_y1.406_z-0.000_r-70_rgb.jpeg,x9.296_y0.047_z0.593_r-80_rgb.jpeg
x-1.198_y1.097_z-0.000_r-71_rgb.jpeg,x9.480_y0.047_z0.755_r-72_rgb.jpeg
x-1.133_y0.875_z0.000_r-73_rgb.jpeg,x9.702_y0.047_z0.692_r-74_rgb.jpeg
x-1.072_y0.671_z0.000_r-74_rgb.jpeg,x9.907_y0.047_z0.633_r-75_rgb.jpeg
x-1.029_y0.451_z0.000_r-77_rgb.jpeg,x10.127_y0.047_z0.593_r-78_rgb.jpeg
x-0.759_y-0.089_z0.000_r-56_rgb.jpeg,x10.670_y0.047_z0.328_r-59_rgb.jpeg
x-0.588_y-0.395_z0.000_r-66_rgb.jpeg,x10.874_y0.047_z0.190_r-55_rgb.jpeg
